interaction_id,user_id,product_id,action,timestamp
1,12,44,view,2025-01-12T10:23:11
2,5,13,add_to_cart,2025-01-10T18:45:02
3,27,3,view,2025-01-14T14:22:33
4,33,89,wishlist,2025-01-08T09:12:45
5,18,101,view,2025-01-16T20:05:49
6,41,67,view,2025-01-11T11:55:22
7,9,150,purchase,2025-01-15T17:14:31
8,22,54,view,2025-01-04T16:40:19
9,3,7,search,2025-01-12T08:11:05
10,14,119,view,2025-01-09T12:51:27
11,1,32,view,2025-01-02T19:32:44
12,28,98,add_to_cart,2025-01-06T21:00:18
13,37,64,view,2025-01-07T15:15:20
14,46,142,wishlist,2025-01-03T09:44:51
15,17,15,view,2025-01-04T13:05:39
16,19,143,view,2025-01-11T10:13:11
17,50,83,add_to_cart,2025-01-16T22:31:37
18,29,130,view,2025-01-12T09:14:02
19,11,36,search,2025-01-15T08:18:20
20,7,120,view,2025-01-13T15:05:12
21,16,14,view,2025-01-10T10:21:45
22,23,77,wishlist,2025-01-11T18:41:56
23,39,10,view,2025-01-17T12:04:02
24,8,25,view,2025-01-03T21:44:55
25,45,145,add_to_cart,2025-01-05T17:18:33
26,31,5,view,2025-01-09T14:32:41
27,6,99,view,2025-01-14T19:45:05
28,40,58,wishlist,2025-01-07T08:54:10
29,4,121,view,2025-01-10T11:23:19
30,13,41,search,2025-01-04T07:55:44
31,49,51,view,2025-01-02T16:11:30
32,10,73,add_to_cart,2025-01-08T18:21:14
33,24,149,view,2025-01-06T20:57:08
34,42,4,view,2025-01-15T13:06:22
35,34,28,wishlist,2025-01-12T12:34:27
36,21,76,view,2025-01-16T11:09:58
37,15,146,view,2025-01-17T19:40:33
38,48,134,add_to_cart,2025-01-14T20:12:41
39,20,1,view,2025-01-05T10:05:18
40,30,63,search,2025-01-13T09:42:07
41,26,87,view,2025-01-03T13:50:54
42,35,55,wishlist,2025-01-02T08:24:36
43,2,23,view,2025-01-12T17:17:20
44,36,117,view,2025-01-09T19:33:11
45,44,132,add_to_cart,2025-01-06T07:52:05
46,38,47,view,2025-01-10T21:06:44
47,43,95,wishlist,2025-01-04T12:49:10
48,32,69,view,2025-01-11T11:32:19
49,25,148,purchase,2025-01-14T18:25:52
50,47,19,view,2025-01-15T09:55:44
51,12,140,view,2025-01-03T18:26:39
52,5,27,search,2025-01-07T22:33:12
53,27,138,view,2025-01-16T08:05:14
54,33,6,add_to_cart,2025-01-17T17:14:11
55,18,90,view,2025-01-13T15:09:29
56,41,108,wishlist,2025-01-09T16:44:37
57,9,65,view,2025-01-02T20:23:51
58,22,52,view,2025-01-15T10:54:14
59,3,84,view,2025-01-06T12:33:42
60,14,141,add_to_cart,2025-01-05T09:16:00
61,1,59,view,2025-01-04T08:51:54
62,28,12,search,2025-01-14T11:32:20
63,37,100,view,2025-01-15T19:17:48
64,46,7,view,2025-01-07T16:25:36
65,17,104,wishlist,2025-01-10T22:14:41
66,19,35,view,2025-01-11T08:45:35
67,50,129,add_to_cart,2025-01-03T19:51:22
68,29,57,view,2025-01-05T15:37:44
69,11,147,search,2025-01-16T18:22:52
70,7,111,view,2025-01-12T14:41:19
71,16,82,view,2025-01-02T11:14:27
72,23,113,wishlist,2025-01-09T21:40:33
73,39,45,view,2025-01-11T17:53:58
