user_id,age,gender,location,preferred_categories,preferred_brands,avg_spend,lifetime_orders
1,24,M,Bangalore,"Mobiles","Apple,Samsung",18000,12
2,30,F,Kochi,"Beauty","Nykaa,Lakme",2500,8
3,19,M,Chennai,"Electronics","Boat,Realme",3200,5
4,27,F,Mumbai,"Fashion","Zara,H&M",4200,14
5,34,M,Hyderabad,"Home Appliances","Samsung,LG",21000,7
6,22,F,Kozhikode,"Accessories","Noise,Boat",1600,9
7,29,M,Delhi,"Mobiles","Samsung,OnePlus",23000,15
8,26,F,Kannur,"Fashion","H&M,Forever21",2800,6
9,21,M,Chennai,"Electronics","Boat,Mi",3500,4
10,28,F,Bangalore,"Beauty","Lakme,Maybelline",1800,11
11,32,M,Hyderabad,"Home Appliances","LG,Whirlpool",26000,5
12,25,F,Mumbai,"Fashion","Levis,Zara",3200,12
13,33,M,Kochi,"Mobiles","Apple,Samsung",42000,18
14,20,F,Delhi,"Accessories","Noise,Boat",1400,7
15,31,M,Chennai,"Electronics","Realme,Mi",9000,10
16,27,F,Kolkata,"Fashion","Zara,H&M",2600,13
17,22,M,Kannur,"Mobiles","OnePlus,Realme",17000,6
18,29,F,Bangalore,"Beauty","Nykaa,Maybelline",2100,9
19,35,M,Mumbai,"Home Appliances","Whirlpool,LG",28000,8
20,23,F,Kozhikode,"Mobiles","Samsung,Apple",19000,10
21,26,M,Chennai,"Accessories","Boat,Noise",1800,4
22,30,F,Kochi,"Fashion","H&M,Zara",3800,16
23,33,M,Delhi,"Electronics","OnePlus,Mi",14000,12
24,21,F,Hyderabad,"Beauty","Lakme,Nykaa",1300,5
25,29,M,Kannur,"Mobiles","Realme,OnePlus",12000,7
26,32,F,Kolkata,"Fashion","Levis,H&M",4200,14
27,28,M,Mumbai,"Home Appliances","Samsung,LG",25000,6
28,19,F,Delhi,"Accessories","Boat,Noise",900,3
29,36,M,Kochi,"Electronics","Mi,Boat",10000,9
30,24,F,Bangalore,"Beauty","Nykaa,Lakme",1600,11
31,31,M,Chennai,"Mobiles","Apple,OnePlus",41000,19
32,27,F,Kozhikode,"Fashion","Zara,Levis",3200,12
33,22,M,Kannur,"Accessories","Noise,Boat",1500,5
34,30,F,Hyderabad,"Beauty","Maybelline,Lakme",1700,7
35,26,M,Delhi,"Mobiles","Samsung,Realme",14000,8
36,33,F,Mumbai,"Fashion","H&M,Zara",2600,10
37,28,M,Kolkata,"Electronics","OnePlus,Mi",9000,11
38,20,F,Kochi,"Beauty","Nykaa,Maybelline",1200,6
39,34,M,Bangalore,"Home Appliances","LG,Whirlpool",30000,9
40,25,F,Chennai,"Fashion","Forever21,Zara",2100,7
41,32,M,Hyderabad,"Electronics","Samsung,Boat",11000,6
42,23,F,Delhi,"Mobiles","Realme,OnePlus",15000,8
43,37,M,Kannur,"Home Appliances","LG,Samsung",27000,6
44,27,F,Kozhikode,"Accessories","Boat,Noise",1400,9
45,29,M,Mumbai,"Mobiles","Samsung,Apple",38000,14
46,24,F,Kochi,"Beauty","Lakme,Maybelline",1300,8
47,30,M,Bangalore,"Electronics","OnePlus,Mi",12000,12
48,26,F,Kannur,"Fashion","H&M,Levis",2900,10
49,33,M,Kolkata,"Mobiles","Apple,OnePlus",52000,18
